job_id,experience_min,experience_max,salary_min,salary_max,salary_avg,experience_avg,job_level,year,month,quarter,day,location_list,region,accounting,reporting,finance,management,monitoring,inspection,english,accounting software,excel,misa,fast,sap,erp,accounts payable,reconciliation,audit,inventory checking,tax finalization,cash inflow/outflow,analysis,communication,teamwork,honesty,careful,responsibility,proactiveness,work under pressure,detail oriented,num_hard,num_software,num_soft
35C6B68A,1.0,5.0,12000000.0,18000000.0,15000000.0,3.0,Senior,2026,3,1,8,Binh Duong,South,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0
35C697D8,1.0,5.0,8000000.0,14000000.0,11000000.0,3.0,Senior,2026,2,1,25,Ho Chi Minh,South,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,2,2,3
35C66196,1.0,5.0,10000000.0,15000000.0,12500000.0,3.0,Senior,2026,1,1,20,Binh Duong,South,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,1
35C66733,1.0,3.0,15000000.0,20000000.0,17500000.0,2.0,Junior,2026,1,1,23,Ho Chi Minh,South,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,6,0,1
35C65A10,1.0,2.0,18000000.0,22000000.0,20000000.0,1.5,Junior,2026,1,1,15,Ha Noi,North,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,3,2,3
35C6BA8D,4.0,5.0,13000000.0,18000000.0,15500000.0,4.5,Manager,2026,3,1,10,Ho Chi Minh,South,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,3
35C63AE8,0.0,0.0,10000000.0,17000000.0,13500000.0,0.0,Intern,2025,12,4,24,Ha Noi,North,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
35C6AA50,5.0,6.0,16000000.0,20000000.0,18000000.0,5.5,Manager,2026,3,1,3,Ho Chi Minh,South,1,1,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,1,1,0,0,6,2,5
35C6319B,1.0,2.0,9000000.0,12000000.0,10500000.0,1.5,Junior,2025,12,4,17,Ho Chi Minh,South,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,2,2,4
35C6A419,4.0,15.0,15000000.0,23000000.0,19000000.0,9.5,Manager,2026,3,1,2,Ha Noi,North,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35C65E9D,3.0,5.0,18000000.0,20000000.0,19000000.0,4.0,Senior,2026,1,1,19,Ho Chi Minh,South,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,5,1,2
35C69DD9,1.0,2.0,10000000.0,14000000.0,12000000.0,1.5,Junior,2026,2,1,27,Ho Chi Minh,South,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,2,1,5
35C6BCAD,1.0,3.0,10000000.0,15000000.0,12500000.0,2.0,Junior,2026,3,1,10,Ho Chi Minh,South,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,6,2,3
35C6672A,1.0,2.0,14000000.0,20000000.0,17000000.0,1.5,Junior,2026,1,1,23,Ho Chi Minh,South,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,4,0,1
35C68D29,1.0,2.0,9000000.0,12000000.0,10500000.0,1.5,Junior,2026,2,1,25,Ho Chi Minh,South,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,3,2,6
